latitude,longitude,altitude,geometry
55.85772,37.34938,,Point
55.85772,37.34938,,Point
55.85772,37.34938,,Point
55.85772,37.34938,,Point
55.85772,37.34938,,Point
55.85772,37.34938,,Point
55.85772,37.34938,,Point
55.85772,37.34938,,Point
55.85772,37.34938,,Point
55.85772,37.34938,,Point
55.744774,37.418667,,Point
55.744774,37.418667,,Point
55.800666,37.504106,,Point
55.704509,37.792915,,Point
55.676494,37.898116,,Point
55.805397,37.461167,,Point
55.782461,37.449111,,Point
55.782461,37.449111,,Point
55.782461,37.449111,,Point
55.782461,37.449111,,Point
55.782461,37.449111,,Point
55.782461,37.449111,,Point
55.662699,37.766306,,Point
55.798247,37.502992,,Point
55.994975,37.192894,,Point
55.547825,37.527301,,Point
55.547825,37.527301,,Point
55.547825,37.527301,,Point
55.547825,37.527301,,Point
55.865626,37.570581,,Point
55.833562,37.359379,,Point
55.797534,37.50186,,Point
55.797534,37.50186,,Point
55.676544,37.761177,,Point
55.676544,37.761177,,Point
55.676544,37.761177,,Point
55.800666,37.504106,,Point
55.721579,37.816513,,Point
55.518041,37.343829,,Point
55.901808,37.552274,,Point
56.22834,36.56666,,Point
55.879556,37.533697,,Point
55.879556,37.533697,,Point
55.856518,37.664087,,Point
55.823904,37.764043,,Point
55.823904,37.764043,,Point
55.823904,37.764043,,Point
55.764075,37.609164,,Point
55.671443,37.554017,,Point
55.784091,37.69074,,Point
55.725214,37.423303,,Point
55.660308,37.577274,,Point
55.66439,37.760647,,Point
55.887932,37.617294,,Point
55.887932,37.617294,,Point
55.887932,37.617294,,Point
55.878021,37.5175,,Point
55.878021,37.5175,,Point
55.615446,37.608562,,Point
55.548721,37.57068,,Point
55.808675,37.768031,,Point
55.734496,37.638889,,Point
55.834674,37.532053,,Point
55.834674,37.532053,,Point
55.834674,37.532053,,Point
55.834674,37.532053,,Point
55.896731,37.611419,,Point
55.896731,37.611419,,Point
55.608668,38.078633,,Point
55.69519,37.738629,,Point
55.69519,37.738629,,Point
55.504899,37.594567,,Point
55.504899,37.594567,,Point
55.504899,37.594567,,Point
55.504899,37.594567,,Point
55.616417,37.582915,,Point
55.877531,37.53526,,Point
55.722076,37.893921,,Point
55.722076,37.893921,,Point
55.722076,37.893921,,Point
55.722076,37.893921,,Point
55.700167,37.826017,,Point
55.700167,37.826017,,Point
55.710022,37.883007,,Point
55.413923,37.61167,,Point
55.824526,37.521264,,Point
55.824526,37.521264,,Point
55.824526,37.521264,,Point
55.824526,37.521264,,Point
55.786951,37.478154,,Point
55.786951,37.478154,,Point
55.786951,37.478154,,Point
55.786951,37.478154,,Point
55.657164,37.77184,,Point
55.871299,37.497522,,Point
55.723247,37.430615,,Point
55.743127,37.764168,,Point
55.887276,37.651394,,Point
55.602617,37.584514,,Point
55.716275,37.773538,,Point
55.621394,37.303629,,Point
55.621394,37.303629,,Point
55.621394,37.303629,,Point
55.621394,37.303629,,Point
55.621394,37.303629,,Point
55.621394,37.303629,,Point
55.472454,37.564904,,Point
55.471311,37.575352,,Point
55.762895,37.48534,,Point
55.642225,37.597738,,Point
55.641503,37.616755,,Point
55.641503,37.616755,,Point
55.641503,37.616755,,Point
55.639781,37.612326,,Point
55.534408,37.531038,,Point
55.52886,37.516341,,Point
55.471403,37.547612,,Point
55.642225,37.597738,,Point
55.642316,37.596237,,Point
55.696996,37.746975,,Point
55.696387,37.739528,,Point
55.696387,37.739528,,Point
55.696387,37.739528,,Point
55.696387,37.739528,,Point
55.697833,37.748672,,Point
55.84447,37.436759,,Point
